symbol,close,open,high,low,volume,changePercent,date,companyName,sector,MMM,AXP,AIG,ACN,CHRW,CSCO,DVN,XOM,week_ranges,week_num,MEDV_volume,z_volume
CSCO,46.17,46.75,46.82,45.9,20399076,-0.67,2020-06-17,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-17 - 2020-06-23,12,0.7846668429729622,0.7846668429729622
CSCO,45.83,45.79,46.05,45.35,22423457,-0.74,2020-06-18,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-17 - 2020-06-23,12,0.9662517779318844,0.9662517779318844
CSCO,45.32,46.26,46.51,45.05,36103238,-1.11,2020-06-19,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-17 - 2020-06-23,12,2.193314343297446,2.193314343297446
CSCO,45.16,45.11,45.46,44.8,18398599,-0.35,2020-06-22,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-17 - 2020-06-23,12,0.6052260727168592,0.6052260727168592
CSCO,45.47,45.92,46.15,45.32,23222359,0.69,2020-06-23,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-17 - 2020-06-23,12,1.037912481973541,1.037912481973541
CSCO,44.75,45.29,45.47,44.39,22840139,-1.58,2020-06-24,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-24 - 2020-06-30,13,1.0036277332824601,1.0036277332824601
CSCO,45.22,44.77,45.32,44.2,19114867,1.05,2020-06-25,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-24 - 2020-06-30,13,0.6694745902603243,0.6694745902603243
CSCO,46.31,45.12,46.51,44.63,106928267,2.41,2020-06-26,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-24 - 2020-06-30,13,8.54624804719448,8.54624804719448
CSCO,46.15,46.34,46.45,45.67,23875408,-0.35,2020-06-29,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-24 - 2020-06-30,13,1.0964903189469117,1.0964903189469117
CSCO,46.64,46.14,47.01,46.1,21888827,1.06,2020-06-30,"Cisco Systems, Inc.",Manufacturing,0,0,0,0,0,1,0,0,2020-06-24 - 2020-06-30,13,0.918296005882508,0.918296005882508
DVN,6.79,6.57,6.94,6.22,16931549,0.0,2020-04-01,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-01 - 2020-04-07,1,0.4736331666228547,0.4736331666228547
DVN,7.79,7.29,9.04,7.07,24076444,14.73,2020-04-02,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-01 - 2020-04-07,1,1.1145230454862352,1.1145230454862352
DVN,8.38,8.3,8.57,7.56,17941902,7.57,2020-04-03,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-01 - 2020-04-07,1,0.5642608122046656,0.5642608122046656
DVN,8.8,8.46,8.89,8.2,13542083,5.01,2020-04-06,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-01 - 2020-04-07,1,0.16960148328089564,0.16960148328089564
DVN,8.71,9.59,10.08,8.64,14770885,-1.02,2020-04-07,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-01 - 2020-04-07,1,0.27982378394830637,0.27982378394830637
DVN,9.41,9.03,9.44,8.62,11611266,8.04,2020-04-08,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-08 - 2020-04-14,2,-0.0035908551981660613,-0.0035908551981660613
DVN,9.67,10.1,10.56,8.86,24421246,2.76,2020-04-09,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-08 - 2020-04-14,2,1.1454514372977105,1.1454514372977105
DVN,9.71,10.26,10.34,9.43,11422381,0.41,2020-04-13,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-08 - 2020-04-14,2,-0.020533649286687952,-0.020533649286687952
DVN,9.11,9.42,9.72,8.86,11435582,-6.18,2020-04-14,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-08 - 2020-04-14,2,-0.01934953289437211,-0.01934953289437211
DVN,8.67,8.35,8.73,8.05,10246919,-4.83,2020-04-15,Devon Energy Corp.,"Mining, Quarrying, and Oil and Gas Extraction",0,0,0,0,0,0,1,0,2020-04-15 - 2020-04-21,3,-0.12597140572516702,-0.12597140572516702
